date,open,high,low,close,volume
2019-01-01,100.08887904238017,100.16657756317045,99.40290529945386,100.0,205509
2019-01-02,101.0967421336496,102.06110777724639,100.49476342359627,100.97884512980164,455752
2019-01-03,100.72511399048666,101.2421307064231,100.04395603090146,100.80846026556183,1262886
2019-01-04,101.946954586325,102.28331585122024,101.13974451803948,102.07222766037522,932234
2019-01-05,104.99262952811863,105.98413244088998,104.77582031923063,104.99316097054384,1871956
2019-01-06,104.6085349262026,104.92642125612453,104.49656838503091,104.63524589093971,658910
2019-01-07,104.20768877043574,104.97489235753014,104.01000397247846,104.27858173771715,209935
2019-01-08,107.48333960165704,107.74454361942806,107.00049734578187,107.37118168693898,360440
2019-01-09,109.10793006084029,109.95204573788003,108.80710946167272,108.95180671817872,1266495
2019-01-10,108.135785097784,108.72117333343613,107.76585554487089,108.12144707706783,1020101
2019-01-11,109.5120981844483,109.77006743008327,109.23193484733532,109.26992378542693,1058101
2019-01-12,108.26323967712845,108.499735913917,107.62070092866189,108.44896217646237,796314
2019-01-13,107.59842398812468,108.34316465517173,107.02932829448164,107.62968924925836,169519
2019-01-14,108.06966235450496,108.8822528595154,107.75133660811197,108.18598755048393,811475
2019-01-15,104.31436464543928,105.33798794200636,103.82638397808914,104.60724452391177,1646780
2019-01-16,101.47782064978057,101.7865562620539,101.38754705832423,101.49040759454013,1060655
2019-01-17,100.53043063872569,101.07083168691344,100.07160426468265,100.54879298625123,1405163
2019-01-18,99.03563684842545,99.78798387931549,98.60508367197586,98.8113179028612,1296688
2019-01-19,99.54545499793234,100.95509608612663,99.2802692462736,99.45135238523827,144772
2019-01-20,97.76696208403325,98.13827212696529,97.59668051596745,97.91739063607649,222431
2019-01-21,95.80165711776365,96.0659455324184,95.10708307329712,95.53595835246527,982522
2019-01-22,98.34820140879468,98.9384193303276,97.92901473741414,98.16840102057174,294904
2019-01-23,97.93394040570244,98.16073649186592,97.32289493292414,97.8485043212226,258988
2019-01-24,98.01260884881559,98.2476111068804,97.76934149595579,98.04591761075955,931303
2019-01-25,95.50229257261893,96.19172857820146,94.51142523014354,95.6399336300023,614743
2019-01-26,94.73022295937145,95.66924130962988,94.17125393427558,94.78314135057342,1961380
2019-01-27,95.20380952743194,95.3887528168218,94.50476632987255,95.04858350628598,139080
2019-01-28,93.4375382699012,93.52650196741308,92.52757885387322,93.17414618993614,206242
2019-01-29,94.09877573604373,94.31013039459691,93.52289122149935,93.88145281931143,929154
2019-01-30,92.87809312124125,93.18317129797516,92.85343082887437,92.94624820077648,614080
2019-01-31,92.37810800853275,92.54944594571225,92.12361472574278,92.53351120699895,1177624
2019-02-01,91.62933305283177,92.76935193188352,91.53301377068564,91.6099731748814,1758069
2019-02-02,94.5401835573225,95.1036156525553,94.09338119740914,94.79163344147837,1027281
2019-02-03,94.89042782351798,95.10559600229791,94.60694633793733,94.84445182646819,1465431
2019-02-04,93.10966345169481,93.587689463911,92.70069145172437,93.13028285761358,267403
2019-02-05,94.52892884297849,94.62295404515545,94.17800961391933,94.59505596644344,356392
2019-02-06,92.39151138939425,92.81997797349882,92.09697300611701,92.61304685422529,120968
2019-02-07,93.10795950228425,93.26742978788926,92.93548737262944,93.03628433396109,1595761
2019-02-08,89.8117792083039,89.96021030046754,89.6755571618885,89.88360081274108,1382993
2019-02-09,87.67631050593478,88.25322810863022,87.58036357870257,87.83044197506653,1684156
2019-02-10,87.8327081223611,88.30389216259924,87.49620214447339,88.21276340293822,876230
